"created_at","id","text","user_id","user_name","user_screen_name","user_location","user_followers_count","user_friends_count","user_created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"

"Wed Apr 06 16:29:03 +0000 2016","717750981744844800","I just love her results!!! Excited is a understatement‼️Girl your gonna be bikini ready th… https://t.co/gSMfSkYpxt https://t.co/pbJZ0eGma0","2820138831","BikiniFromInstagram","instaBikiniGram","null","1724","70","Thu Oct 09 18:20:46 +0000 2014","null","C0DEED","http://pbs.twimg.com/profile_images/520282197694369792/8ryGUKTw_normal.jpeg","null","null","null"

"Wed Apr 06 16:29:04 +0000 2016","717750982810148900","I love #music so much I cant live without it.","709458140841046000","❤️Chris Stacks❤️","BtchesLuvMilly","null","1957","3336","Mon Mar 14 19:16:16 +0000 2016","null","F5F8FA","http://pbs.twimg.com/profile_images/709461761867513858/bVU6Imls_normal.jpg","null","null","null"

"Wed Apr 06 16:29:04 +0000 2016","717750982650757100","@n0ra_haifaa @rabiazayyat 
🙋Watch😍beautiful love song👇By @Kenza_Morsli
https://t.co/50VcnK9yPa
#KenzaMorsli","2886785939","besma بسمة","bimouchikola2","null","844","770","Fri Nov 21 12:06:30 +0000 2014","null","C0DEED","http://pbs.twimg.com/profile_images/708809407845539842/nZXMnnZ0_normal.jpg","null","null","null"

"Wed Apr 06 16:29:04 +0000 2016","717750982575173600","RT @ASITISofficial: "I look for love in everybody else" 

#WintersWeather https://t.co/PN0ma9ZRq6","952866793","Cassidy Alexandria","CassidyReyna1","Los Angeles, California","1806","1738","Sat Nov 17 03:37:46 +0000 2012","Pacific Time (US & Canada)","9E199E","http://pbs.twimg.com/profile_images/717522713154203648/ZQtDj3Zv_normal.jpg","null","null","null"

"Wed Apr 06 16:29:04 +0000 2016","717750982487085000","My love ❤️ https://t.co/BsGijtFAS2","496321958","lauren ballard","laurenballard_x","Staffordshire, England","265","224","Sat Feb 18 20:54:50 +0000 2012","London","FF6699","http://pbs.twimg.com/profile_images/703327163911704576/uJD6aDQC_normal.jpg","null","null","null"

"Wed Apr 06 16:29:04 +0000 2016","717750982793232400","much love for time hop","548562552","Adrianna","adri_truelove","Deer Park, TX","759","283","Sun Apr 08 14:50:57 +0000 2012","Eastern Time (US & Canada)","F5ABB5","http://pbs.twimg.com/profile_images/717498601241325568/b1140yw2_normal.jpg","null","null","[object Object]"
